Time (s),ADC Value,30s Avg,5m Avg,10m Avg
0,890,890.0,890.0,890.0
3,20,455.0,455.0,455.0
6,975,628.33,628.33,628.33
9,847,683.0,683.0,683.0
12,142,574.8,574.8,574.8
15,1719,765.5,765.5,765.5
18,99,670.29,670.29,670.29
21,1733,803.12,803.12,803.12
24,801,802.89,802.89,802.89
27,1039,826.5,826.5,826.5
30,86,746.1,759.18,759.18
33,659,810.0,750.83,750.83
36,1526,865.1,810.46,810.46
39,1636,944.0,869.43,869.43
42,1647,1094.5,921.27,921.27
45,353,957.9,885.75,885.75
48,6,948.6,834.0,834.0
51,1973,972.6,897.28,897.28
54,122,904.7,856.47,856.47
57,601,860.9,843.7,843.7
60,1174,969.7,859.43,859.43
63,522,956.0,844.09,844.09
66,1325,935.9,865.0,865.0
69,232,795.5,838.62,838.62
72,550,685.8,827.08,827.08
75,655,716.0,820.46,820.46
78,1555,870.9,847.67,847.67
81,771,750.7,844.93,844.93
84,70,745.5,818.21,818.21
87,58,691.2,792.87,792.87
90,1466,720.4,814.58,814.58
93,1119,780.1,824.09,824.09
96,1303,777.9,838.61,838.61
99,1376,892.3,854.41,854.41
102,1046,941.9,859.89,859.89
105,297,906.1,844.25,844.25
108,1164,867.0,852.89,852.89
111,398,829.7,840.92,840.92
114,1144,937.1,848.69,848.69
117,1052,1036.5,853.77,853.77
120,1369,1026.8,866.34,866.34
123,1900,1104.9,890.95,890.95
126,1878,1162.4,913.91,913.91
129,1579,1182.7,929.02,929.02
132,1199,1198.0,935.02,935.02
135,110,1179.3,917.09,917.09
138,311,1094.0,904.19,904.19
141,1339,1188.1,913.25,913.25
144,318,1105.5,901.1,901.1
147,1753,1175.6,918.14,918.14
150,1340,1172.7,926.41,926.41
153,1949,1177.6,946.08,946.08
156,1029,1092.7,947.64,947.64
159,1413,1076.1,956.26,956.26
162,493,1005.5,947.84,947.84
165,842,1078.7,945.95,945.95
168,375,1085.1,935.93,935.93
171,1660,1117.2,948.41,948.41
174,1447,1230.1,956.86,956.86
177,1254,1180.2,961.82,961.82
180,1940,1240.2,977.85,977.85
183,1615,1206.8,988.13,988.13
186,130,1116.9,974.51,974.51
189,1700,1145.6,985.84,985.84
192,236,1119.9,974.31,974.31
195,698,1105.5,970.12,970.12
198,974,1165.4,970.18,970.18
201,350,1034.4,961.06,961.06
204,847,974.4,959.41,959.41
207,1908,1039.8,972.96,972.96
210,74,853.2,960.3,960.3
213,368,728.5,952.07,952.07
216,1926,908.1,965.41,965.41
219,852,823.3,963.88,963.88
222,1448,944.5,970.33,970.33
225,373,912.0,962.47,962.47
228,835,898.1,960.82,960.82
231,1127,975.8,962.95,962.95
234,680,959.1,959.37,959.37
237,1608,929.1,967.48,967.48
240,1096,1031.3,969.06,969.06
243,1933,1187.8,980.82,980.82
246,1840,1179.2,991.17,991.17
249,869,1180.9,989.71,989.71
252,1182,1154.3,991.98,991.98
255,1373,1254.3,996.41,996.41
258,550,1225.8,991.28,991.28
261,1954,1308.5,1002.22,1002.22
264,1656,1406.1,1009.56,1009.56
267,167,1262.0,1000.2,1000.2
270,630,1215.4,996.13,996.13
273,30,1025.1,985.63,985.63
276,1265,967.6,988.63,988.63
279,1365,1017.2,992.64,992.64
282,1842,1083.2,1001.58,1001.58
285,1097,1055.6,1002.57,1002.57
288,1410,1141.6,1006.77,1006.77
291,1603,1106.5,1012.86,1012.86
294,1028,1043.7,1013.01,1013.01
297,1988,1225.8,1022.76,1022.76
300,1661,1328.9,1030.47,1029.08
303,1504,1476.3,1045.31,1033.74
306,1952,1545.0,1055.08,1042.65
309,524,1460.9,1051.85,1037.66
312,1275,1404.2,1063.18,1039.92
315,1521,1446.6,1061.2,1044.46
318,1480,1453.6,1075.01,1048.53
321,1522,1445.5,1072.9,1052.92
324,614,1404.1,1071.03,1048.89
327,1776,1382.9,1078.4,1055.5
330,10,1217.8,1077.64,1046.08
333,442,1111.6,1075.47,1040.69
336,1890,1105.4,1079.11,1048.2
339,1577,1210.7,1078.52,1052.84
342,1484,1231.6,1076.89,1056.59
345,869,1166.4,1082.05,1054.97
348,296,1048.0,1084.95,1048.49
351,38,899.6,1065.6,1039.92
354,341,872.3,1067.79,1034.05
357,1423,837.0,1076.01,1037.29
360,1794,1015.4,1082.21,1043.55
363,538,1025.0,1082.37,1039.4
366,1051,941.1,1079.63,1039.5
369,44,787.8,1077.75,1031.47
372,174,656.8,1073.99,1024.61
375,1554,725.3,1082.98,1028.81
378,1331,828.8,1080.74,1031.19
381,901,915.1,1082.04,1030.17
384,80,889.0,1082.14,1022.81
387,32,749.9,1081.88,1015.18
390,1767,747.2,1084.89,1020.92
393,1877,881.1,1092.47,1027.41
396,37,779.7,1079.81,1019.96
399,1317,907.0,1079.22,1022.18
402,563,945.9,1074.39,1018.78
405,584,848.9,1077.26,1015.58
408,919,807.7,1074.81,1014.88
411,559,773.5,1076.42,1011.57
414,1190,884.5,1076.88,1012.86
417,1257,1007.0,1078.93,1014.6
420,1242,954.5,1077.66,1016.21
423,1619,928.7,1074.85,1020.46
426,1296,1054.6,1069.03,1022.38
429,623,985.2,1059.47,1019.61
432,1727,1101.6,1064.75,1024.49
435,1531,1196.3,1078.96,1027.96
438,1141,1218.5,1087.26,1028.73
441,1579,1320.5,1089.66,1032.45
444,1539,1355.4,1101.87,1035.85
447,847,1314.4,1092.81,1034.59
450,1830,1373.2,1097.71,1039.85
453,612,1272.5,1084.34,1037.04
456,800,1222.9,1082.05,1035.49
459,570,1217.6,1073.62,1032.47
462,156,1060.5,1070.25,1026.81
465,886,996.0,1070.69,1025.91
468,64,888.3,1067.58,1019.78
471,1994,929.8,1070.92,1025.95
474,771,853.0,1064.16,1024.35
477,901,858.4,1060.63,1023.58
480,651,740.5,1047.74,1021.26
483,536,732.9,1036.95,1018.27
486,764,729.3,1043.29,1016.71
489,172,689.5,1028.01,1011.55
492,417,715.6,1029.82,1007.95
495,1701,797.1,1039.85,1012.13
498,1823,973.0,1048.34,1016.98
501,1128,886.4,1056.12,1017.64
504,205,829.8,1049.7,1012.83
507,1664,906.1,1047.26,1016.66
510,1166,957.6,1058.18,1017.54
513,1663,1070.3,1071.13,1021.29
516,491,1043.0,1056.78,1018.23
519,129,1038.7,1049.55,1013.11
522,370,1034.0,1038.77,1009.44
525,1313,995.2,1048.17,1011.16
528,1528,965.7,1055.1,1014.08
531,1623,1015.2,1060.06,1017.51
534,1321,1126.8,1066.47,1019.2
537,575,1017.9,1056.14,1016.73
540,978,999.1,1054.96,1016.52
543,1603,993.1,1051.66,1019.74
546,149,958.9,1034.75,1014.98
549,872,1033.2,1034.78,1014.21
552,1699,1166.1,1039.95,1017.91
555,1919,1226.7,1045.41,1022.75
558,488,1122.7,1044.79,1019.89
561,1661,1126.5,1041.86,1023.3
564,1422,1136.6,1039.52,1025.41
567,1663,1245.4,1054.48,1028.77
570,989,1246.5,1058.07,1028.56
573,753,1161.5,1065.3,1027.12
576,375,1184.1,1056.4,1023.75
579,956,1192.5,1052.31,1023.4
582,1920,1214.6,1053.09,1027.99
585,878,1110.5,1050.9,1027.23
588,1902,1251.9,1055.82,1031.67
591,1963,1282.1,1059.42,1036.37
594,1808,1320.7,1067.22,1040.25
597,58,1160.2,1047.92,1035.34
600,930,1154.3,1040.61,1035.54
603,696,1148.6,1032.53,1038.92
606,803,1191.4,1021.04,1038.06
609,227,1118.5,1018.07,1034.96
612,1505,1077.0,1020.37,1041.78
615,1373,1126.5,1018.89,1040.05
618,1438,1080.1,1018.47,1046.74
621,157,899.5,1004.82,1038.86
624,199,738.6,1000.67,1035.85
627,1812,914.0,1001.03,1039.71
630,1826,1003.6,1019.19,1048.41
633,1155,1049.5,1026.32,1050.89
636,1557,1124.9,1022.99,1051.05
639,942,1196.4,1016.64,1047.58
642,495,1095.4,1006.75,1041.82
645,22,960.3,998.28,1040.16
648,2,816.7,995.34,1040.14
651,1670,968.0,1011.66,1038.63
654,1169,1065.0,1019.94,1043.87
657,337,917.5,1009.08,1042.55
660,1638,898.7,1007.52,1044.87
663,638,847.0,1008.52,1045.44
666,1056,796.9,1008.57,1044.1
669,1494,852.1,1023.07,1050.41
672,1233,925.9,1033.66,1053.83
675,834,1007.1,1026.46,1054.72
678,1845,1191.4,1031.6,1056.17
681,1579,1182.3,1038.38,1060.21
684,44,1069.8,1038.02,1060.08
687,966,1132.7,1047.36,1064.62
690,1012,1070.1,1039.81,1062.35
693,1458,1152.1,1035.62,1064.05
696,504,1096.9,1040.29,1060.05
699,1050,1052.5,1037.62,1058.42
702,840,1013.2,1040.39,1057.39
705,517,981.5,1039.72,1058.49
708,532,850.2,1035.85,1055.33
711,794,771.7,1038.2,1057.31
714,644,831.7,1032.74,1054.81
717,1230,858.1,1032.47,1055.7
720,1346,891.5,1033.51,1055.59
